n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.18, err=5.350143552615154
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.19, err=5.377605792035951
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.2, err=5.38759206091624
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.21, err=5.38759206091624
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.22, err=5.375109224815878
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.23, err=5.375109224815878
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.24, err=5.375109224815878
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.25, err=5.377605792035951
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.26, err=5.385095493696167
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.27, err=5.360129821495444
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.28, err=5.370116090375733
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.29, err=5.375109224815878
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.3, err=5.375109224815878
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.31, err=5.380102359256023
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.32, err=5.380102359256023
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.33, err=5.380102359256023
